POSITION;X;Y
1;0.02682119;0.02154399
2;0.10264901;0.02154399
3;0.20364238;0.02154399
4;0.30331126;0.02154399
5;0.40298013;0.02154399
6;0.50231788;0.02154399
7;0.60496689;0.02154399
8;0.70629139;0.02154399
9;0.80894040;0.02154399
10;0.91158940;0.02154399
11;0.98741722;0.02154399
12;0.02682119;0.08909336
13;0.10264901;0.08909336
14;0.20364238;0.08909336
15;0.30331126;0.08909336
16;0.40298013;0.08909336
17;0.50231788;0.08909336
18;0.60496689;0.08909336
19;0.70629139;0.08909336
20;0.80894040;0.08909336
21;0.91158940;0.08909336
22;0.98741722;0.08909336
23;0.02682119;0.16090664
24;0.10264901;0.16090664
25;0.20364238;0.16090664
26;0.30331126;0.16090664
27;0.40298013;0.16090664
28;0.50231788;0.16090664
29;0.60496689;0.16090664
30;0.70629139;0.16090664
31;0.80894040;0.16090664
32;0.91158940;0.16090664
33;0.98741722;0.16090664
34;0.02682119;0.22755835
35;0.10264901;0.22755835
36;0.20364238;0.22755835
37;0.30331126;0.22755835
38;0.40298013;0.22755835
39;0.50231788;0.22755835
40;0.60496689;0.22755835
41;0.70629139;0.22755835
42;0.80894040;0.22755835
43;0.91158940;0.22755835
44;0.98741722;0.22755835
45;0.02682119;0.29510772
46;0.10264901;0.29510772
47;0.20364238;0.29510772
48;0.30331126;0.29510772
49;0.40298013;0.29510772
50;0.50231788;0.29510772
51;0.60496689;0.29510772
52;0.70629139;0.29510772
53;0.80894040;0.29510772
54;0.91158940;0.29510772
55;0.98741722;0.29510772
56;0.02682119;0.36579892
57;0.10264901;0.36579892
58;0.20364238;0.36579892
59;0.30331126;0.36579892
60;0.40298013;0.36579892
61;0.50231788;0.36579892
62;0.60496689;0.36579892
63;0.70629139;0.36579892
64;0.80894040;0.36579892
65;0.91158940;0.36579892
66;0.98741722;0.36579892
67;0.02682119;0.43559246
68;0.10264901;0.43559246
69;0.20364238;0.43559246
70;0.30331126;0.43559246
71;0.40298013;0.43559246
72;0.50231788;0.43559246
73;0.60496689;0.43559246
74;0.70629139;0.43559246
75;0.80894040;0.43559246
76;0.91158940;0.43559246
77;0.98741722;0.43559246
78;0.02682119;0.50426391
79;0.10264901;0.50426391
80;0.20364238;0.50426391
81;0.30331126;0.50426391
82;0.40298013;0.50426391
83;0.50231788;0.50426391
84;0.60496689;0.50426391
85;0.70629139;0.50426391
86;0.80894040;0.50426391
87;0.91158940;0.50426391
88;0.98741722;0.50426391
89;0.02682119;0.53972172
90;0.10264901;0.53972172
91;0.20364238;0.53972172
92;0.30331126;0.53972172
93;0.40298013;0.53972172
94;0.50231788;0.53972172
95;0.60496689;0.53972172
96;0.70629139;0.53972172
97;0.80894040;0.53972172
98;0.91158940;0.53972172
99;0.98741722;0.53972172
100;0.02682119;0.57405745
101;0.10264901;0.57405745
102;0.20364238;0.57405745
103;0.30331126;0.57405745
104;0.40298013;0.57405745
105;0.50231788;0.57405745
106;0.60496689;0.57405745
107;0.70629139;0.57405745
108;0.80894040;0.57405745
109;0.91158940;0.57405745
110;0.98741722;0.57405745
111;0.02682119;0.64699282
112;0.10264901;0.64699282
113;0.20364238;0.64699282
114;0.30331126;0.64699282
115;0.40298013;0.64699282
116;0.50231788;0.64699282
117;0.60496689;0.64699282
118;0.70629139;0.64699282
119;0.80894040;0.64699282
120;0.91158940;0.64699282
121;0.98741722;0.64699282
122;0.02682119;0.71342011
123;0.10264901;0.71342011
124;0.20364238;0.71342011
125;0.30331126;0.71342011
126;0.40298013;0.71342011
127;0.50231788;0.71342011
128;0.60496689;0.71342011
129;0.70629139;0.71342011
130;0.80894040;0.71342011
131;0.91158940;0.71342011
132;0.98741722;0.71342011
133;0.02682119;0.77894973
134;0.10264901;0.77894973
135;0.20364238;0.77894973
136;0.30331126;0.77894973
137;0.40298013;0.77894973
138;0.50231788;0.77894973
139;0.60496689;0.77894973
140;0.70629139;0.77894973
141;0.80894040;0.77894973
142;0.91158940;0.77894973
143;0.98741722;0.77894973
144;0.02682119;0.85076302
145;0.10264901;0.85076302
146;0.20364238;0.85076302
147;0.30331126;0.85076302
148;0.40298013;0.85076302
149;0.50231788;0.85076302
150;0.60496689;0.85076302
151;0.70629139;0.85076302
152;0.80894040;0.85076302
153;0.91158940;0.85076302
154;0.98741722;0.85076302
155;0.02682119;0.91741472
156;0.10264901;0.91741472
157;0.20364238;0.91741472
158;0.30331126;0.91741472
159;0.40298013;0.91741472
160;0.50231788;0.91741472
161;0.60496689;0.91741472
162;0.70629139;0.91741472
163;0.80894040;0.91741472
164;0.91158940;0.91741472
165;0.98741722;0.91741472
